to delete,dup check,checked,Original Item,Original Proposed definition,Item,Requirement Definition,Scoring: Meets,Scoring: Partial,Scoring: Does Not Meet,Scoring: NA,FAIR category,AI FAIR Criteria: Structural | Scientific | Provenance | Governance,Broad categories,Sub category,"Required (core, auto, or recommended)",Use-case scope (Condition),Applies-at-level,mappedEML,mappedDataCite,mappedSOSO,mappedCroissant,Croissant scope,Note
keep,dup sensitive data,x,Data anonymization | Personal and sensitive information - consolicated,"Documentation of the presence and handling of any personal or sensitive content (human subjects, endangered-species locations), when such content is present. Ref: no native schema.org/Croissant term (governance extension candidate); cf. CARE Principles.",Sensitive Data Handling and Obfuscation,"Dataset documentation demonstrates compliance with privacy, human subject, and endangered species protections, detailing any obfuscation, spatial fuzzing, or redaction protocols applied to the payload.","Formal ethics/governance compliance is documented (e.g., IRB, conservation board, Nagoya Protocol) AND any sensitive localities or PII are verified as systematically fuzzed, blurred, or redacted.","General claims of privacy/species protection are made, but specific spatial jittering radii, redaction criteria, or ethics approval references are omitted.","Dataset contains unmanaged PII, unredacted private land boundaries, or exact localities of highly threatened taxa without ethical governance.","Dataset contains strictly non-sensitive, widely distributed taxa or purely abiotic observations with zero PII or sensitive localities.",Accessible | Reusable,Scientific | Provenance | Governance,Data Access,Security / Privacy,core,Human/sensitive data; endangered species,dataset,,,,,oos->extension,"proposed definition generated by Claude


e.g., endangered species information, human subjects"
keep,dup sensitive data,x,Restricted data access,"Documentation of the conditions under which access is restricted (e.g., HIPAA, sensitive taxa), when access is restricted. Ref: schema.org sc:conditionsOfAccess.",Access Restriction Justification,"Dataset metadata explicitly documents the conservation justifications, legal mandates, or policy criteria under which open public download is restricted or gated.","Transparent criteria (e.g., IUCN Red List anti-poaching security, biometric privacy, Data Use Agreement requirements) justifying access gating are formally structured in metadata.","Access is gated behind approval or authentication, but explicit criteria and justification policies are vaguely articulated in narrative text.","Data access is restricted or withheld arbitrarily with no documented legal, ethical, or conservation justification.",Dataset is fully open access with no gated tiers or restricted distribution.,Accessible,Scientific | Provenance | Governance,Data Access,Security / Privacy,core,Restricted/sensitive data,dataset,,,sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"proposed definition generated by Claude


e.g., HIPPA"
keep,dup sensitive data,x,Secure access,The procedure for obtaining access when access is conditional or secured. Ref: schema.org sc:conditionsOfAccess.,Secure Access Procedure,"Dataset provides a formal, documented pathway for vetted researchers to apply for and obtain secure access to restricted data.","A structured application procedure, credentialing criteria, and secure data transfer mechanism (e.g., DUA) are documented.","A contact email is given for access requests, but formal credentialing criteria and application workflows are absent.",Data access is restricted with no mechanism or procedure for qualified researchers to request access.,Dataset is completely open access with no restricted tiers.,Accessible,Scientific | Provenance | Governance,Data Access,Security / Privacy,core,Restricted/sensitive data,dataset,,,sc:conditionsOfAccess,sc:conditionsOfAccess,oos->extension,"proposed definition generated by Claude


How to get access if conditional/secure?"
keep,dup author,x,Creators | Author → consolidated,"The entity (person, organization, device??, or system) responsible for creating or revising a piece of biological data.",Dataset Creators and Authors,"Dataset metadata explicitly identifies all primary authors, scientific investigators, and creator organizations responsible for data generation and curation.","All primary authors and creating organizations are documented with full names, institutional affiliations, and structured author schema (e.g., EML creator, DataCite creator, schema.org creator).","Authors/creators are listed as plain text strings without institutional affiliations, roles, or structured schema markup.","Creator and author attribution is entirely missing, anonymous, or unverifiable.",Never NA (mandatory baseline attribution for all datasets).,Reusable,Provenance,Provenance,"citation for ""this dataset""",core,All use cases,dataset,dataset/methods/methodStep/dataSource/creator,creators/creator,sc:creator,sc:creator,croissant-native,For the croissant mapping in this section of the checklist we will need to be mapping to PROV ontology as described: https://docs.mlcommons.org/croissant/docs/croissant-spec-1.1.html#provenance-representation]
keep,dup author,x,Author ORCID,"The Open Researcher and Contributor Identificaton (ORCID) for the author. The ORCID is a unique, persistent identifier that is free of charge to researchers. https://info.orcid.org/what-is-orcid/",Author Persistent Identifiers,"Dataset metadata provides persistent digital person identifiers (e.g., ORCID iDs) for all human authors and contributors to resolve identity ambiguities.","Valid, resolvable ORCID iDs (e.g., https://orcid.org/0000-...) or similar are structured for all listed human authors and contributors.","ORCID iDs (or similar) are provided for the lead/corresponding author only, or provided as plain unstructured text strings without URI formatting.",No author ORCID iDs or persistent person identifiers are provided.,"Dataset creator is exclusively an institutional body, automated sensor network, or government agency with no human authors.",Findable | Reusable,Provenance,Provenance,"citation for ""this dataset""",recommended,All use cases,dataset,"dataset/methods/methodStep/dataSource/creator/userId[@directory=""orcid""]","creators/creator/nameIdentifier[@nameIdentifierScheme=""ORCID""]",sc:creator/sc:sameAs,sc:creator/sc:sameAs,croissant-native,"Wouldn't apply if a device, organization or system."
,,x,Curated by,"The entity (person, organization, device, or system) who curates and manages the dataset.",Data Curator Attribution,"Dataset metadata distinguishes and attributes data curators who organized, cleaned, or formatted the dataset, e.g., for AI readiness.","Data curators are explicitly named with institutional affiliations, curator roles, and ORCID identifiers.",Curator names are mentioned in acknowledgements without formal metadata attribution or role specification.,Curators responsible for prepareing the dataset release are unacknowledged.,Dataset creator(s)/author(s) performed all curation directly with no separate curation personnel.,Reusable,Provenance,Provenance,"citation for ""this dataset""",recommended,All use cases,dataset,dataset/methods/methodStep/dataSource/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,This has overlap with the author. Need to describe how the author and the curator are different.  Would we want an ORCID for this person as well?
,,x,Dataset card author(s),"The author (person, organization) of the dataset's card. The person that has compiled the structured, human-readable summary of the dataset.",Dataset Card Authorship,Dataset metadata attributes the specific authors responsible for writing and maintaining the dataset card / documentation.,"Dataset card authors are documented with names, affiliations, and contact details.",Dataset card authorship is implied by general dataset authors but not explicitly designated.,No authorship or accountability is documented for the dataset documentation.,No standalone dataset card or documentation sheet exists for the dataset.,Reusable,Provenance,Provenance,"citation for ""this dataset""",recommended,All use cases,dataset,dataset/methods/methodStep/dataSource/associatedParty,"contributors/contributor[@contributorType=""DataCurator""]",sc:contributor,sc:contributor,croissant-partial,
,,us this necessary? Combine with dataset card author,Dataset card contact,Contact information for the dataset card author(s).,Dataset Card Contact Point,Dataset documentation provides a monitored contact email or communication channel for documentation queries.,"A monitored, functional email address or helpdesk ticketing URL is provided specifically for dataset card inquiries.","A contact is listed, but email is unmaintained or a generic institutional switchboard.",No contact point is provided for dataset documentation inquiries.,No dataset card exists.,Reusable,Provenance,Provenance,"citation for ""this dataset""",recommended,All use cases,dataset,dataset/methods/methodStep/dataSource/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-native,
keep,dup author,x,Expert contact,"Contact for a domain expert on the data, who may differ from the dataset-card author. Ref: schema.org sc:contactPoint; DataCite contributor[ContactPerson]; EML methods/methodStep/dataSource/contact.",Domain Expert Contact Point,"Dataset metadata provides direct, monitored contact details for domain specialists qualified to resolve scientific, taxonomic, or ecological ambiguities during data reuse. Primary author or creator contact information may qualify if they represent the domain experts for the dataset.","Direct, active contact details (name, email/helpdesk, institutional affiliation) for designated domain/taxonomic experts (or qualified author/curator contacts) are structured in metadata.","A generic institutional contact (e.g., info@university.edu) is provided without naming specific scientific specialists or data stewards.","No contact information, helpdesk, or communication endpoint is provided for resolving scientific questions.",Never NA (essential operational requirement for resolving domain ambiguities in ML training).,Reusable,Provenance,Provenance,"citation for ""this dataset""",core,All - esp. specialized domains,dataset,dataset/methods/methodStep/dataSource/contact,"contributors/contributor[@contributorType=""ContactPerson""]",sc:contactPoint,sc:contactPoint,croissant-partial,"proposed definition generated by Claude


This may not match the person who wrote the dataset card"
keep,dup dataset doi,x,Data citation,"citation for this dataset (bibtex, APA, etc.)",Formatted Data Citation,"Dataset provides recommended, pre-formatted bibliographic citations in standard scientific styles (e.g., APA, BibTeX).","Complete, pre-formatted citation strings in APA, Chicago, machine-readable BibTeX formats (with DOI), or similar are provided.","Citation text is provided but missing critical fields (e.g., year, repository, or DOI) or BibTeX format.",No pre-formatted bibliographic citation is provided.,Never NA (mandatory for scientific attribution).,Findable | Reusable,Provenance,Provenance,"citation for ""this dataset""",recommended,All use cases,dataset,dataset/methods/methodStep/dataSource/alternateIdentifier,identifier,sc:identifier,sc:identifier,croissant-partial,
keep,dup dataset doi,x,DOI (of dataset),The persistent digital object identifier (DOI) for this dataset. Ref: schema.org sc:identifier; DataCite identifier; EML alternateIdentifier.,Dataset Persistent Identifier (DOI),"Dataset is assigned a globally unique, persistent, and resolvable Digital Object Identifier (DOI).","A valid, registered DOI (e.g., registered via DataCite, Crossref) is structured in dataset metadata.",Dataset uses an ephemeral or local URL/handle instead of a globally registered persistent DOI.,No DOI or persistent identifier is assigned to the dataset.,Dataset is a private pre-publication draft not yet assigned a DOI.,Findable,Structural | Provenance,Provenance,Identifier,core,All use cases,dataset,dataset/methods/methodStep/dataSource/distribution/online/url,identifier,sc:identifier,sc:identifier,croissant-native,"DOI for this dataset. GM: Shouldn't the DOI for this dataset be listed under General Information, or similar (or not as part of Provenance metadata anyways)? [Claude Code inferred: Use-case scope (Condition) = All use cases (was blank)]"
keep,source dup,x,Provenance tracking,"Link(s) to the source dataset(s) from which this dataset is derived, establishing traceability. Authority: DataCite relatedIdentifiers[IsDerivedFrom] for sources with a DOI; relatedItems[IsDerivedFrom] for sources without one. Also schema.org sc:isBasedOn; Croissant cr:source; PROV-O.",Data Provenance Traceability,Dataset documentation tracks complete provenance history and data processing transformation graphs.,"Complete provenance trace (inputs, software versions, transformations, timestamps) is documented in PROV-O or W3C standards.","General processing narrative is described, but explicit intermediate artifact tracking or PROV graph is lacking.",Dataset provides no provenance tracking or history of data transformations.,"Dataset represents primary, unmanipulated raw sensor or field observations.",Reusable | Findable,Provenance,Provenance,Derived dataset,core,Derived/compiled datasets,dataset,dataset/methods/methodStep/dataSource,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-native,"proposed definition generated by Claude


link(s) to source dataset(s) from which this one is derived
Getting at the traceability checkbox"
,,x,Source data producers,The people/organizations who produced the original source dataset(s). Ref: schema.org sc:isBasedOn/sc:creator; Croissant cr:source; DataCite contributor[DataCollector].,Source Data Producer Attribution,"Derived or compiled datasets explicitly attribute all upstream data collector institutions, observatories, and producers.",All upstream data producers and institutions are structured with formal citations and organizational PIDs (ROR IDs).,Upstream producers are listed by acronym or informal text without institutional PIDs or full attribution.,Derived dataset fails to attribute the original source data collectors and producers.,Dataset is primary data collected directly by the authoring team.,Reusable,Provenance,Provenance,Derived dataset,core,Derived/compiled datasets,dataset,dataset/methods/methodStep/dataSource/creator,"contributors/contributor[@contributorType=""DataCollector""]",sc:isBasedOn/sc:creator,cr:source,croissant-native,"proposed definition generated by Claude


Who made the original dataset(s)"
delete,source dup,x,Citation of subsumed datasets,"Full citation(s) for the original dataset(s) incorporated into this one. Authoritative mechanism: DataCite relatedItems[relationType=IsDerivedFrom, relatedItemType=Dataset] -- embeds title/creators/year inline for sources WITHOUT a DOI -- or relatedIdentifiers[IsDerivedFrom] when a DOI exists. Also EML dataset/literatureCited; schema.org sc:isBasedOn; Croissant cr:source. Precedent: GBIF derived-dataset DOIs.",Subsumed Dataset Citations,Derived datasets provide full formal bibliographic citations (and DOIs) for all individual subsumed datasets.,"Every subsumed dataset is formally cited with unique DOIs using standard relationship tags (e.g., IsDerivedFrom).",Subsumed datasets are listed in an informal appendix without resolvable DOIs or structured relation metadata.,Subsumed source datasets are incorporated without individual citations or DOIs.,Dataset is not derived from multiple subsumed external datasets.,Reusable | Findable,Provenance,Provenance,Derived dataset,core,Derived/compiled datasets,dataset,dataset/literatureCited,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source,croissant-partial,"proposed definition generated by Claude


Citation (bibtex) for original dataset(s)"
delete,source dup,x,Source data DOI,Digital object identifier (DOI) for the source dataset used to derive this dataset.,Source Dataset Persistent Identifiers,Dataset metadata explicitly links to the persistent Digital Object Identifiers (DOIs) of all primary source datasets.,Resolvable DOIs (https://doi.org/...) for all constituent source datasets are structured in metadata.,Source datasets are linked via standard URLs or accession numbers where DOIs exist but were omitted.,Source data DOIs are completely missing for derived products.,"Source datasets do not possess DOIs, or dataset is a primary original collection.",Findable | Reusable,Provenance,Provenance,Derived dataset,core,Derived/compiled datasets,dataset,dataset/methods/methodStep/dataSource/distribution/online/url,"relatedIdentifiers/relatedIdentifier[@relationType=""IsDerivedFrom""]",sc:isBasedOn,cr:source/cr:fileObject,croissant-native,DOI for original dataset(s)
,,x,Source data checksums,"Checksums (e.g., SHA-256) of the source data package or its constituent files, for integrity verification of derived datasets. Ref: Croissant cr:FileObject/sc:sha256; EML physical/authentication.",Source Data Cryptographic Checksums,"Derived datasets provide cryptographic checksums (e.g., SHA-256) of raw source archives to verify provenance integrity.",Cryptographic hashes (SHA-256 or MD5) for all upstream source archives are recorded in provenance metadata.,"Source file sizes are recorded, but cryptographic hash checksums are omitted.",No checksums or cryptographic verification records are provided for source data.,"Dataset is primary raw data, or source data were acquired via streaming/dynamic API queries.",Reusable,Structural | Provenance,Provenance,Derived dataset,core,Derived/compiled datasets,dataset,dataset/[entityType]/physical/authentication,,,cr:FileObject/sc:sha256,croissant-partial,Could be full zip/package or constituent pieces
,,x,"Checksums (of full, images, etc.)","Checksums (e.g., SHA-256) for the full dataset and/or its components (e.g., image archives). Ref: Croissant cr:FileObject/sc:sha256; EML physical/authentication.",Dataset Integrity Checksums,"Dataset metadata provides cryptographic checksums (e.g., SHA-256, MD5) for all downloadable data files and media archives.",Cryptographic checksums (SHA-256) are structured in metadata for every distributed file and archive partition.,"Checksums are provided for the master archive only, but individual media files or shards lack hashes.",No cryptographic checksums or file hashes are provided for data integrity verification.,Never NA (essential for verifying data transmission integrity).,Reusable,Structural | Provenance,Provenance,Identifier,recommended,All use cases,dataset,dataset/methods/methodStep/dataSource/[entityType]/physical/authentication,,,cr:FileObject/sc:sha256,croissant-native,
keep,dup repo,x,Processing platform/software,,Processing Environment and Software,"Dataset documentation specifies exact software environments, library versions, and processing platforms used to prepare data.","Complete software manifests (e.g., Python/R environments, Docker container tags, exact library versions) are documented.","Software tools are mentioned (e.g., 'processed in R') without exact package versions, Dockerfiles, or environment specs.",Data processing software and computing environment are undocumented.,"Raw, unmanipulated field observations requiring no computational processing.",Reusable,Structural | Provenance,Provenance,Processing platform/software,core,Processed/derived data,dataset,dataset/methods/methodStep/dataSource/methods/methodStep/software,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->EML,[Claude Code inferred: items = Processing platform/software (was blank)]
,,requirement definition and scoring definitions are wrong??,Storage conditions,The origin point of already generated data and details about its movement and location of storage,Physical Specimen Storage and CARE,"Dataset documents physical specimen repository locations, biobank storage conditions, and CARE provenance tracking.","Museum/herbarium catalog numbers, physical storage conditions, and CARE stewardship protocols are fully documented.","Museum repository is named, but physical specimen accession IDs or preservation parameters are omitted.","Physical specimen vouchers exist but lack repository identifiers, storage details, or CARE records.","Dataset involves exclusively digital sensors, simulations, or non-specimen observational surveys.",Reusable,Structural | Provenance,Provenance,Provenance,core,Governed/CARE; physical specimens,dataset,,,,,oos->extension,"From IEEE CARE: The origin point of already generated data and details about its movement and location of storage
over time."
,,x,Permission to take observations,"Whether permission was granted to collect the tangible object, material, or resource, or the intangible knowledges or information.",Collection Permits and Legal Governance,"Dataset metadata documents formal scientific collection permits, landowner permissions, and ethical research authorizations.","All research permits, wildlife collection licenses, and access agreements are listed with permit numbers and granting bodies.","Permit acquisition is asserted in text, but formal permit numbers and granting authorities are omitted.",Field collection or observational research was conducted without documented permits or legal authorization.,Observations were collected in public open spaces or digital platforms where no collection permits are required.,Reusable,Provenance | Governance,Governance,Governance,core,Governed/CARE; Indigenous/community data,dataset,,,,,oos->extension,"From IEEE CARE:  Whether permission was granted to collect the tangible object, material, or resource, or the intangible knowledges or information. "
,,,Agent granting permission to take observations,"Who granted the permission to collect the tangible object, material, or resource, or the intangible knowledges or information. ",Authorizing Agency Attribution,"Dataset metadata explicitly identifies the governing agencies, Indigenous authorities, or institutions that granted collection permits.","Permitting agencies (e.g., USFS, National Park Service, Tribal Authorities) are documented with contact details and jurisdiction.",Permitting agencies are named colloquially without formal jurisdictional or administrative detail.,Granting authority is unrecorded.,No collection permits or access authorizations were required.,Reusable,Provenance | Governance,Governance,Governance,core,Governed/CARE; Indigenous/community data,dataset,,,,,oos->extension,"From IEEE CARE:  Who granted the permission to collect the tangible object, material, or resource, or the intangible knowledges or information. "
,,x,People stewarding observations,"The Indigenous Peoples to whom the tangible object, material, or resource, or the intangible",Indigenous and Community Stewardship,"Dataset documentation identifies the Indigenous Peoples to whom the tangible object, material, or resource, or the intangible
knowledges or information was generated, produced, or collected. Ref: IEEE CARE","Traditional land stewardship, Indigenous communities, and CARE governance agreements (e.g., Biocultural Labels) are documented.","Land acknowledgement is included in narrative text, but formal community stewardship or CARE governance ties are unaddressed.",Indigenous or local community data stewardship and customary governance rights are ignored.,Dataset collected in jurisdictions or contexts where Indigenous/community data sovereignty is not applicable.,Reusable,Provenance | Governance,Governance,Governance,core,Governed/CARE; Indigenous/community data,dataset,dataset/associatedParty,contributors/contributor,sc:contributor,sc:contributor,oos->extension,"From IEEE CARE: The Indigenous Peoples to whom the tangible object, material, or resource, or the intangible
knowledges or information was generated, produced, or collected."
keep,date dup,edited,Timestamp of observation,When the resource or knowledge was collected/observed. Ref: schema.org sc:temporalCoverage; EML coverage/temporalCoverage; DataCite date[Collected]; dwc:eventDate.,Observation Timestamp Precision,Dataset documents timestamps (including UTC offset) for every individual observation event.,"Every record contains a complete, validated ISO 8601 timestamp with explicit UTC timezone offset (e.g., 2024-05-12T14:30:00Z).","Timestamps are provided in local time without timezone/UTC offset, or use inconsistent datetime string formats.",Observations lack timestamps or only record unanchored time strings.,Dataset contains static morphological or synthetic data with no temporal collection event.,Findable | Reusable,Scientific | Provenance | Governance,Governance,Collection,core,All - esp. Governed/CARE & Time-series,event; occurrence,dataset/coverage/temporalCoverage,"dates/date[@dateType=""Collected""]",sc:temporalCoverage,sc:temporalCoverage,croissant-partial,"proposed definition generated by Claude


From IEEE CARE: When the tangible object, material, or resource, or the intangible knowledges or information was collected. "
,,x,Action and timestamp taken towards observation,"The messages, operations, actors, preferences, and context that led to a given data point (CARE provenance). Ref: IEEE CARE; EML dataset/methods/methodStep; schema.org sc:measurementTechnique.",Operational Event Logging and Context,"Dataset captures messages, operations, actors, preferences, and context that led to a given data point (CARE provenance). Ref: IEEE CARE","Fine-grained event logs (e.g., camera trigger delay, drone waypoint action, observer calibration) are recorded with timestamps.","General operational steps are described, but per-event execution logs and exact action timestamps are missing.",No operational context or observer action logs are recorded for individual observation events.,"Observational protocol consists of passive, single-instant records with no intermediate operational actions.",Reusable,Provenance | Governance,Governance,Collection,core,Governed/CARE; provenance graphs,event; occurrence,dataset/methods/methodStep,"descriptions/description[@descriptionType=""Methods""]",sc:measurementTechnique,sc:measurementTechnique,oos->extension,"From IEEE CARE: Messages, operations, actors, preferences, and context that led to that piece of data. "
